id;criado;status;preco_total;comentarios;codigo_pagamento
1;2021-04-14T01:38:03;CANCELADO;79963;../fake-data/blob/hipster.txt;Madeira
2;2021-04-13T18:19:30;ENTREGUE;41856;../fake-data/blob/hipster.txt;Sapatos Etiópia copying
3;2021-04-13T16:55:25;CANCELADO;36323;../fake-data/blob/hipster.txt;XML Assurance National
4;2021-04-14T09:25:47;ESTORNADO;75612;../fake-data/blob/hipster.txt;marca
5;2021-04-14T08:20:46;AGUARDANDO_PAGAMENTO;34393;../fake-data/blob/hipster.txt;clicks-and-mortar deposit
6;2021-04-13T19:27:07;ESTORNADO;80675;../fake-data/blob/hipster.txt;Toalhas
7;2021-04-14T04:21:42;ENTREGUE;86627;../fake-data/blob/hipster.txt;payment holistic
8;2021-04-14T04:35:26;ENTREGUE;85263;../fake-data/blob/hipster.txt;Música optimize
9;2021-04-14T08:03:04;ESTORNADO;4837;../fake-data/blob/hipster.txt;Franc Avenida
10;2021-04-14T02:03:59;AGUARDANDO_PAGAMENTO;57472;../fake-data/blob/hipster.txt;Toalhas Argentine Ceará
