id;nome;descricao;foto_url;sku;ean;criado;preco;preco_promocional;total_estoque
1;Specialist;../fake-data/blob/hipster.txt;São Strategist Consultant;Anguila;Bicicleta vermelho program;2021-04-13T15:36:49;33104;95261;73407
2;Account bypass;../fake-data/blob/hipster.txt;reintermediate;synthesizing Technician Cambridgeshire;Credit Granito;2021-04-13T20:15:26;75467;97681;64551
3;Goiás Calças bypass;../fake-data/blob/hipster.txt;next-generation;Executive;Eletrônicos;2021-04-14T08:17:53;15792;43990;82376
4;Computadores up Rodovia;../fake-data/blob/hipster.txt;value-added;programming;connecting;2021-04-13T13:23:23;65343;82414;71537
5;face technologies;../fake-data/blob/hipster.txt;up Avon;applications;bus Plástico;2021-04-14T02:18:46;5612;73089;44329
6;Bedfordshire virtual;../fake-data/blob/hipster.txt;Direct knowledge Global;cohesive;mão turquesa Iraqi;2021-04-14T02:44:09;93424;62586;86925
7;Genérico;../fake-data/blob/hipster.txt;Alemanha virtual;SMTP Regional Integration;back Aço;2021-04-13T18:14:45;41653;44956;68877
8;Markets Jóias;../fake-data/blob/hipster.txt;cross-platform Auto;Administrator Aço;action-items help-desk;2021-04-13T16:19:45;65012;48380;43765
9;Lustroso;../fake-data/blob/hipster.txt;TCP scalable;Savings cinza;Realigned redundant;2021-04-14T04:23:53;93890;75886;14997
10;distributed Lek optimal;../fake-data/blob/hipster.txt;Usability Up-sized Liaison;invoice SCSI Executive;Liaison Calças;2021-04-13T18:49:26;17253;3185;63010
